idPalavra;palavra;descricao;imagem;
NULL;Site;Um sítio eletrónico ou site eletrônico (em inglês: website ou site) ou saite, é um conjunto de páginas web, isto é, de hipertextos acessíveis geralmente pelo protocolo HTTP ou pelo HTTPS na internet. O conjunto de todos os sítios públicos existentes compõe a World Wide Web.;site;https://www.hostinger.com.br/tutoriais/o-que-e-site
NULL;SmartWatch;Dispositivo usado no pulso, com conectividade e funcionalidades semelhantes às de um computador pessoal, nomeadamente com um sistema operativo capaz de correr várias aplicações.;smartwatch;https://blog.multisom.com.br/o-que-e-smartwatch/
NULL;Software;Software pode ser definido como um conjunto de instruções que permitem ao usuário controlar um aparelho eletrônico. Em um computador, por exemplo, as peças físicas e os periféricos formam o hardware, mas é preciso ter softwares para que os componentes saibam como devem funcionar.;software;https://canaltech.com.br/software/o-que-e-software/
NULL;Teclado;É o elemento que permite a digitação, além de também ser usado para comandos em jogos.;teclado;https://edu.gcfglobal.org/pt/informatica-basica/o-que-e-o-teclado/1/
NULL;Upgrade;O termo, em geral, é usado pela administração e informática e significa melhorar ou atualizar. Porém, está sendo muito utilizado na área de marketing para representar uma atualização de plano.;upgrade;https://www.significados.com.br/upgrade/
NULL;Upload;O termo upload se refere ao ato de “subir” arquivos presentes no seu computador ou celular para um servidor online, ao contrário do download, que é o ato de baixar algo para o seu dispositivo.;upload;https://tecnoblog.net/responde/o-que-e-upload/
NULL;Variável;As variáveis são estruturas importantes em qualquer programação, independentemente da linguagem que se utilize para implementar os códigos ou programas. Elas podem ser entendidas como uma caixinha, onde os dados são armazenados temporariamente ou em definitivo e que são manipuladas durante a execução do programa.;variável;https://www.infoescola.com/matematica/conceito-de-variavel/
NULL;Vírus;Em informática, um vírus de computador é um software malicioso que é desenvolvido por programadores geralmente inescrupulosos. Tal como um vírus biológico, o programa infecta o sistema, faz cópias de si e tenta se espalhar para outros computadores e dispositivos de informática.;vírus;https://brasilescola.uol.com.br/biologia/virus-2.htm
NULL;Visual Studio Code;O Visual Studio Code (VS Code) é um editor de código de código aberto desenvolvido pela Microsoft. A saber, ele está disponível para Windows, Mac e Linux. É criado com Electron, ferramenta criada pelo GitHub que permite a criação de softwares Desktop com HTML, CSS e JavaScript.;visual studio code;https://www.devmedia.com.br/introducao-ao-visual-studio-code/34418
NULL;VPN;VPN significa “Virtual Private Network” (Rede Privada Virtual) e descreve a oportunidade de estabelecer uma conexão de rede protegida ao usar redes públicas. As VPNs criptografam seu tráfego de Internet e disfarçam sua identidade online.;vpn;https://www.kaspersky.com.br/resource-center/definitions/what-is-a-vpn
